,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,district_class
108,590000,500.0,51,1,2,1,1,0,1,0,A
109,1360000,1272.161237275506,115,3,4,3,2,1,0,1,A
110,1780000,2500.0,164,4,4,3,3,1,1,1,A
111,1106996,836.5265142720143,48,1,2,1,2,1,0,1,A
112,1053000,1729.0,60,2,2,1,1,0,1,1,A
113,1250000,729.0,81,2,3,2,2,1,0,1,A
114,610000,761.0,53,1,2,1,1,1,0,0,A
115,1297500,950.0,173,4,4,3,3,1,0,1,C
116,2180000,1500.0,221,4,4,3,4,1,0,1,C
117,940000,1016.7473418630929,112,3,2,1,2,0,0,0,C
118,900000,800.0,120,3,3,2,3,0,1,1,C
119,880000,650.0,102,3,2,1,2,0,0,1,C
120,970000,701.0,126,3,4,3,2,0,1,1,C
121,699000,850.0,89,3,2,1,2,0,0,0,C
122,635000,920.0,98,3,2,1,2,0,0,1,C
123,915000,756.0,30,3,1,0,2,0,1,1,C
124,550000,780.0,80,3,2,1,2,0,0,1,C
125,365000,900.0,51,1,1,0,1,0,1,1,C
126,423500,950.0,90,3,2,0,2,0,0,0,C
127,750000,760.0,107,3,2,1,2,0,1,0,C
128,620000,706.6820465169726,83,3,2,1,1,0,0,1,C
129,800000,1200.0,120,4,2,1,2,0,0,1,C
130,540000,600.0,50,2,2,1,1,0,0,1,C
131,920000,900.0,112,3,2,1,2,0,0,1,C
132,713990,530.0,86,2,2,1,1,0,0,0,C
133,745000,750.0,92,3,2,1,2,0,0,1,C
134,435000,465.90186711538206,52,2,1,0,1,1,0,1,C
135,990000,990.0,118,3,4,3,2,1,0,1,C
136,460000,600.0,63,2,2,1,1,0,0,1,C
137,705000,967.536101778546,132,3,2,1,1,0,0,0,C
138,399000,550.0,60,2,2,1,1,0,0,1,C
139,850000,700.0,110,3,4,1,2,1,0,1,C
140,530000,1300.0,107,2,2,1,1,0,0,0,C
141,425000,450.0,64,2,2,1,2,1,0,1,C
142,900000,970.0,112,3,2,1,2,0,0,1,C
143,526000,400.0,70,2,2,1,1,0,0,1,C
144,495000,535.1147231726444,60,2,2,1,2,0,0,1,C
145,350000,600.0,79,2,1,0,1,0,0,0,C
146,1000000,820.0,122,3,3,2,2,0,0,1,C
147,636000,677.0184204629763,74,2,2,1,2,0,0,1,C
148,420000,504.7871297208684,63,2,1,0,1,1,0,0,C
149,459400,549.1419502694694,68,3,2,1,1,1,0,1,C
150,670000,1480.0,110,3,2,1,2,0,0,1,C
151,827900,939.070425079536,109,3,4,3,2,0,0,1,C
152,270000,250.0,35,1,2,1,1,0,0,1,C
153,999000,1800.0,190,2,3,2,3,0,0,1,C
154,560000,750.0,110,2,1,0,1,0,1,0,C
155,550000,770.0,80,3,2,1,2,0,1,1,C
156,531000,505.0,70,2,2,1,1,1,0,1,C
157,550000,500.0,63,2,2,1,2,1,0,1,C
158,689900,500.0,86,3,2,1,1,0,0,1,C
159,620000,638.0,76,3,2,1,2,0,1,1,C
160,410000,360.0,63,3,2,1,1,0,1,1,C
