,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,mean_price/m,std_price/m,district_class
33,6000,800.0,150,3,4,3,2,1,1,0,34.69009028732308,18.39883468281598,C
34,1750,760.0,60,3,2,1,1,0,0,0,30.058304914488353,15.139146507512537,C
35,2500,857.0,113,3,2,1,2,1,0,0,31.98361367873975,16.256562568320263,C
36,3800,1450.0,155,3,4,3,3,1,1,0,34.69009028732308,18.39883468281598,C
37,1600,300.0,66,2,2,1,1,1,0,0,30.058304914488353,15.139146507512537,D
38,990,692.0,57,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,C
39,1850,500.0,57,2,2,1,2,0,0,1,29.32834936571854,14.841037015136015,C
40,1950,377.0,55,2,2,1,1,1,1,0,29.32834936571854,14.841037015136015,C
41,1099,400.0,85,2,2,1,1,0,0,0,29.96586380462771,14.511229657479197,C
42,2300,907.0,114,4,3,2,2,0,0,1,31.98361367873975,16.256562568320263,C
43,1500,275.0,80,3,2,1,1,0,0,0,29.96586380462771,14.511229657479197,C
44,1300,289.0,44,2,2,1,1,1,0,0,36.99486182214457,21.366743561269978,D
45,1900,374.0,55,2,2,1,1,1,1,0,29.32834936571854,14.841037015136015,C
46,1350,500.0,51,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,C
47,2500,857.0,115,3,2,1,2,1,0,1,31.98361367873975,16.256562568320263,C
48,2500,750.0,73,3,2,1,1,1,0,0,29.89023813563203,15.687458326582117,C
49,1200,413.3218040820561,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
50,1450,577.9126567021019,65,2,2,1,1,1,0,0,30.058304914488353,15.139146507512537,D
51,1100,590.0,64,3,2,1,1,1,0,0,30.058304914488353,15.139146507512537,D
52,870,560.0,58,2,2,1,1,0,0,1,29.32834936571854,14.841037015136015,D
53,1300,310.0,57,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
54,1000,380.0,58,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
55,1100,546.0,96,3,2,1,1,0,0,0,31.010996311706176,17.639604246052702,D
56,1100,250.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
57,800,318.78799070047893,40,1,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
58,1200,400.0,62,2,2,1,1,1,0,0,30.058304914488353,15.139146507512537,D
59,900,250.0,53,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
60,1150,445.466418766259,52,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
61,1250,400.0,55,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
62,1100,580.0,60,2,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
63,1200,570.0,67,2,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
64,1200,430.90634062481615,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
65,1200,400.0,55,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
66,1400,486.9655155869849,55,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
67,1350,457.5642523715276,52,3,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
68,1200,587.0,70,3,2,1,1,0,0,0,29.89023813563203,15.687458326582117,D
69,1300,401.78618434193055,46,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
70,1000,380.0,48,2,2,1,1,1,0,0,36.99486182214457,21.366743561269978,D
71,1600,437.5174712925935,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
72,1600,400.0,52,2,2,1,1,1,0,1,29.32834936571854,14.841037015136015,D
73,1150,370.0,55,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
74,1200,220.0,45,2,2,1,1,1,0,0,36.99486182214457,21.366743561269978,D
75,1500,410.0,56,3,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
76,1120,340.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
77,1300,400.0,55,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
78,1100,512.7801065359819,60,2,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
79,1860,340.0,50,2,2,1,1,1,1,1,29.32834936571854,14.841037015136015,D
80,1400,708.0,70,2,2,1,1,1,0,1,29.89023813563203,15.687458326582117,D
81,3200,850.0,105,3,4,3,2,0,0,1,35.70183671780869,21.894769921815232,D
82,900,500.0,50,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
83,3500,1000.0,125,3,2,1,2,0,0,0,32.40567356380175,15.23699701490716,D
84,3500,1030.0,126,3,4,3,2,1,0,1,32.40567356380175,15.23699701490716,D
85,3500,580.0,98,2,1,2,2,0,0,1,31.010996311706176,17.639604246052702,D
86,1350,345.0,49,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
87,2300,374.0,65,2,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
88,1300,580.0,62,2,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
89,1400,510.0,64,2,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
90,3500,1030.0,126,3,5,3,2,1,0,1,32.40567356380175,15.23699701490716,D
91,1600,520.0,64,3,2,1,1,0,0,1,30.058304914488353,15.139146507512537,D
92,1000,750.0,60,2,2,1,1,0,0,1,30.058304914488353,15.139146507512537,D
93,2200,678.0,75,3,2,1,2,0,0,1,29.89023813563203,15.687458326582117,D
94,1600,450.0,54,2,2,1,1,0,0,1,29.32834936571854,14.841037015136015,D
95,1700,248.0,48,2,2,1,1,1,0,1,36.99486182214457,21.366743561269978,D
96,1400,510.0,64,2,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
97,1200,497.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
98,1200,450.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
