,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.3851840019226074,0.044556108677097854,0.03028254508972168,0.0008348951920340839,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-78809838302.59607,-65060797792.27292,-55030855785.92083,-50636457788.526405,-40222052354.59277,-57952000404.7818,13130009212.371853,64
1,2.7125884532928466,0.030084295581810156,0.05661144256591797,0.0009433322612379806,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-77931986154.24028,-64642840503.63785,-53744541934.549934,-50582449857.54118,-40507796076.03996,-57481922905.20184,12799809015.832409,42
2,4.025196504592896,0.018496396591873115,0.08318328857421875,0.0008219208913414004,,1,2,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-77421175733.48863,-63988228166.1965,-54107550088.874535,-50277375115.40197,-40873106120.2075,-57333487044.833824,12481509053.259245,26
3,1.0881733894348145,0.005055328888372029,0.023778438568115234,0.00048802590771782447,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-76327302678.54745,-66359147760.531944,-56933662976.42504,-51885793386.48265,-40612284395.813805,-58423638239.56018,12212463134.487627,108
4,2.165986728668213,0.006178018933427731,0.04471435546875,0.0005946714295813605,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-75361781093.17612,-65633653999.428696,-54842077612.15257,-50819077333.29181,-40011436051.33842,-57333605217.877525,12186962403.898354,27
5,3.239554691314697,0.016807910899320287,0.06648941040039062,0.0008741273568277818,,1,5,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-74970755818.5056,-65310798245.89999,-55323565265.74437,-51049918280.21517,-40031013171.36477,-57337210156.345985,11980060923.095716,29
6,0.9317813873291015,0.008889240319378116,0.02055249214172363,0.00047846954835319713,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-70554590694.42487,-68659689917.80903,-56324277099.65568,-53231405543.18564,-40688894683.07398,-57891771587.62984,10921630623.017437,57
7,1.8558775424957275,0.006034278967974591,0.03877277374267578,0.0008033773526592426,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-69763178622.04425,-67921567020.445305,-55503163883.53022,-52933304718.133575,-40838863391.00225,-57392015527.03111,10595959977.490747,36
8,2.773725461959839,0.008787968867041779,0.05643253326416016,0.0005344424691797765,,1,10,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-69670683658.22525,-67134116363.90009,-55925614967.48912,-53037272955.77533,-40810408133.39622,-57315619215.7572,10408735322.116943,22
9,1.0473308563232422,0.006894099944876924,0.023561716079711914,0.0007141138657755065,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-73796662900.03062,-65683253588.566826,-54838256678.24301,-52325804652.79269,-42642095391.13268,-57857214642.15316,10830728081.134378,53
10,2.100269079208374,0.022422131253065677,0.04491515159606933,0.0004448431048511806,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-73873781269.86908,-64642818241.8232,-53889595212.90534,-51469627215.62521,-42155465399.69832,-57206257467.98423,10986758419.831776,10
11,3.1386542320251465,0.004022348962237386,0.0660642147064209,0.0009132443787770405,,2,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-72963130484.4175,-64417116158.63985,-54862609199.641716,-51130045198.760376,-42285900470.615685,-57131760302.41502,10632759536.91715,3
12,1.0053529262542724,0.006304573807502122,0.02330808639526367,0.0009701919919389959,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-73061699664.97244,-65949533075.13855,-55588003002.53128,-52813288284.889206,-42241965008.9759,-57930897807.301476,10687014288.894533,61
13,2.0057394027709963,0.009698284694984656,0.043329286575317386,0.0003083438420761573,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-73041454909.05464,-65251322206.12826,-54689391603.51054,-51759371442.45476,-41517258205.01622,-57251759673.23289,10932649005.739376,16
14,2.999325132369995,0.02019729588320234,0.06301555633544922,0.000584956659949316,,2,5,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-72473934651.53653,-64987135967.88291,-55544266226.30523,-51236146301.45712,-41582271926.16543,-57164751014.66945,10734512465.147987,5
15,0.8757409572601318,0.005530155277770117,0.02003788948059082,0.0005867037994712683,,2,10,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-69887636957.16035,-68944043970.18234,-54933963428.87373,-53717916848.09456,-41479397809.43374,-57792591802.74894,10597547198.850811,51
16,1.752336359024048,0.005742971310511227,0.03772206306457519,0.0008178085676444133,,2,10,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-69955740229.29114,-67968460273.55492,-54612337799.53622,-52828050448.962395,-41577334808.373924,-57388384711.943726,10472524124.50779,34
