,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.07071270942687988,0.006133801610984893,0.005689048767089843,0.00045710853545418215,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-5802977.778517184,-6124290.256489367,-5316154.181973385,-6583334.134828071,-5996606.311452226,-5964672.5326520465,413753.7931379426,236
1,0.06746244430541992,0.00047136174340973406,0.005891323089599609,0.00036831727480418614,0.8,0.01,3,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",-5817609.1556002535,-6125617.0337844435,-5339579.644892386,-6664157.582616312,-6004575.629021301,-5990307.809182939,430315.6150668098,240
2,0.0628622055053711,0.0026597000227587425,0.006144523620605469,0.00015300418274281737,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-5769060.920135634,-6134993.127282012,-5382322.885504653,-6713625.692356529,-5978123.334031748,-5995625.191862116,438799.6224627548,242
3,0.11895284652709961,0.0012233446791093214,0.006488895416259766,0.00041743689299696856,0.8,0.01,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-4318372.286213663,-4978698.9213723745,-4213189.335267969,-4985724.5697058635,-4948178.861501866,-4688832.794812347,347247.79874671635,155
4,0.11783838272094727,0.0015989273128824073,0.006199932098388672,0.00039942285548188517,0.8,0.01,3,200,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.9}",-4325590.491858111,-5031666.735910003,-4245138.643312741,-5040169.092250355,-4954740.497484087,-4719461.092163059,356594.5089716318,170
5,0.11794605255126953,0.012104028484589182,0.0064983367919921875,0.0008524396685297444,0.8,0.01,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-4297414.33692413,-5004002.103758759,-4288482.853068769,-5088797.75738737,-4999968.114967923,-4735733.03322139,362932.2733660542,180
6,0.17076234817504882,0.0016856302830235259,0.006976127624511719,0.00012602969365933193,0.8,0.01,3,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",-3933579.1736386893,-4833571.841188206,-3907921.5800729124,-4426529.866528083,-4726976.874898316,-4365715.867265241,387147.207620624,81
7,0.16894011497497557,0.0014876056076483007,0.00677342414855957,0.0007793689930824481,0.8,0.01,3,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",-3940871.4781754417,-4866895.284832397,-3919959.401695242,-4463992.722148098,-4706644.199124264,-4379672.6171950875,388661.5245836192,87
8,0.1803976535797119,0.053479373504832686,0.006302690505981446,0.00037129459246825554,0.8,0.01,3,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-3939368.626351584,-4810255.294152524,-3931477.3847967573,-4483614.478360046,-4753687.451173161,-4383680.646966814,382297.9721154607,91
9,0.09658112525939941,0.003698008925210361,0.006223297119140625,0.0003903041207120001,0.8,0.01,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",-5399525.413470013,-5578279.93677043,-5122595.855767748,-6092785.486765913,-5728249.857331897,-5584287.310021201,324538.9519494122,230
10,0.0947408676147461,0.0013869910461187063,0.006834220886230469,0.00042181337899980305,0.8,0.01,5,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.9}",-5303997.96608772,-5595032.085261373,-5130374.845889205,-6179097.281343621,-5758943.904369812,-5593489.216590347,365675.961507863,232
11,0.09063420295715333,0.002780585589263689,0.006366443634033203,0.0005190645792453315,0.8,0.01,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",-5241712.8939435305,-5620442.15410214,-5278685.28234473,-6188525.476695963,-5804067.873592129,-5626686.736135699,351134.07813463034,234
12,0.17241272926330567,0.0020385186743610926,0.007206535339355469,0.0003990151743073669,0.8,0.01,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",-3986485.0821017004,-4444321.629898685,-4064690.366135469,-4529652.649366111,-4623140.633927074,-4329658.072285808,255833.21238180326,69
13,0.17141613960266114,0.0019055487401502566,0.007186412811279297,0.00040761107407141995,0.8,0.01,5,200,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.9}",-3876137.2777253673,-4455489.288772488,-4091121.1555023855,-4606961.086777282,-4663723.776109561,-4338686.516977416,305451.71764433203,71
