,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.06958451271057128,0.0045701359813719,0.006001091003417969,3.846157995238453e-06,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-159568402931.78406,-225265083795.52853,-141496209952.24533,-148558630303.6146,-98571967257.91934,-154692058848.21838,40903654202.85981,243
1,0.07526264190673829,0.006615691562503241,0.006020307540893555,0.0006803122984658976,0.8,0.01,3,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",-159710336913.58533,-224484748641.35635,-141557489000.4388,-147942034650.95844,-98264869315.12909,-154391895704.2936,40737843939.24316,241
2,0.060686492919921876,0.002601750858748674,0.005840110778808594,0.0011060501832684446,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-158955635449.40875,-223447151489.4535,-142292353387.852,-149213912612.87607,-98376818340.04459,-154457174255.92697,40250053641.83669,242
3,0.11294183731079102,0.0036923088815294654,0.006201028823852539,0.0003985193187146478,0.8,0.01,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-92283399528.70056,-113977387648.92622,-80000468303.69676,-77552625881.46643,-52435088903.181656,-83249794053.19432,20091555104.35703,214
4,0.11961007118225098,0.01349937229470194,0.006073522567749024,0.0006392217825977731,0.8,0.01,3,200,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.9}",-93835830836.0709,-114270868517.92525,-80586453834.27913,-76528989274.58562,-51490293811.264946,-83342487254.82516,20665220681.994312,215
5,0.10528984069824218,0.0019533478853708563,0.006057071685791016,0.0005898108158675415,0.8,0.01,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-93503216804.0353,-114346324662.9702,-81528366074.4838,-76985604475.00906,-51763055637.514656,-83625313530.80258,20518478993.807728,216
6,0.16132941246032714,0.0020902108972015365,0.006232023239135742,0.0003877929603020059,0.8,0.01,3,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",-80753757075.61357,-84532579575.54886,-65852599695.29804,-65231893317.680824,-42900695565.28379,-67854305045.885025,14684190121.673342,143
7,0.1998441696166992,0.030185217372259945,0.006925535202026367,0.0008720745766412378,0.8,0.01,3,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",-82623305141.5831,-85098181034.4987,-66310564651.31564,-64421828942.6798,-42476045953.25474,-68185985144.6664,15317608335.999136,150
8,0.15616874694824218,0.011815189200791882,0.006427145004272461,0.0005691836921785868,0.8,0.01,3,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-82638170973.97894,-85308502781.54138,-67558353327.148315,-64843605959.151024,-42894539219.6389,-68648634452.29171,15180241900.955095,160
9,0.09450178146362305,0.003520766877868473,0.005781650543212891,0.0003928661028119674,0.8,0.01,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",-149483354081.04517,-214344547884.9923,-126811552832.4818,-132814488063.66203,-87247886555.71196,-142140365883.57864,41478891421.032845,230
10,0.09172425270080567,0.0014138288208289007,0.005623817443847656,0.0004566025412197878,0.8,0.01,5,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.9}",-152136835452.5183,-213815311442.00937,-126189685123.75375,-131416448847.02765,-86702082361.11751,-142052072645.28534,41665376847.9119,229
11,0.08681144714355468,0.0019504251658322312,0.006084156036376953,0.0006054908839785456,0.8,0.01,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",-160336283437.55518,-218096428669.67273,-127212846498.50949,-130324412127.37534,-87184937939.12163,-144630981734.44687,43478605570.39969,234
12,0.1689089298248291,0.0022606984976697693,0.006694126129150391,0.000817723597875331,0.8,0.01,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",-85203917059.85675,-109459682448.65508,-65995650009.24408,-64065898317.82721,-45478244420.07997,-74040678451.13261,21721671664.62395,195
13,0.1674783706665039,0.0020685392207792424,0.006859922409057617,0.00043471652919529834,0.8,0.01,5,200,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.9}",-90297671784.2543,-108883057154.1725,-65612118757.54988,-64315003126.51686,-45506129077.387924,-74922795979.97629,22155091587.427685,198
14,0.1570962429046631,0.0010899645896417743,0.006544160842895508,0.000819022274011554,0.8,0.01,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",-97225318013.11168,-114411091623.70479,-64803822972.39432,-64893997478.75222,-46144067372.157135,-77495659492.02402,24717667701.52758,203
15,0.24694032669067384,0.006562056929227366,0.0071734428405761715,0.00019893738818661853,0.8,0.01,5,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",-78091317647.2741,-83166154903.98224,-54167271227.667046,-53202220082.81223,-39374105724.49817,-61600213917.24675,16473136530.384378,24
16,0.24389128684997557,0.004303528907654495,0.007272052764892578,0.00037020702807213153,0.8,0.01,5,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.9}",-84284131359.1591,-82354839292.68762,-53667786382.305664,-53541719860.81793,-40522242721.46123,-62874143923.286316,17374370201.362144,50
17,0.22796988487243652,0.0026190053867646028,0.0070326805114746095,6.030385931168451e-05,0.8,0.01,5,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",-92932138458.38556,-88100574672.87036,-51405365333.104904,-54899987590.92286,-42789700852.795586,-66025553381.61586,20438707596.03322,114
