,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,2.374991941452026,0.01701621778766483,0.05095295906066895,0.0014801577445308818,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-3167138.739663849,-5315539.870343853,-3480313.4978219545,-3715309.523053441,-3955298.538214444,-3926720.0338195087,741697.2712787676,26
11,3.5469295978546143,0.01968126847568736,0.07331833839416504,0.0007532598806753868,,2,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-3201959.5333104185,-5264267.824107169,-3509349.5023006904,-3686574.843464285,-3956084.355424942,-3923647.211721501,713721.90657675,23
12,1.14090256690979,0.00881489042636761,0.02518887519836426,0.0005097905597635125,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-3257226.8498225925,-5162237.620900609,-3556978.049632291,-3825215.016946544,-4059427.8507111175,-3972217.077602631,652533.3239651802,43
13,2.276721954345703,0.017953698630838306,0.04772748947143555,0.0010458631324671017,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-3160372.0436982075,-5257500.078533707,-3480579.1411889484,-3744399.8887181263,-3967223.444069685,-3922014.9192417352,720010.6855436811,18
14,3.41876802444458,0.03725466139148335,0.07074356079101562,0.001866627783412775,,2,5,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-3183213.853763144,-5190922.749340061,-3510905.5769543587,-3717051.952776066,-3954023.2450179034,-3911223.475570307,688101.3095775847,10
15,1.0066925525665282,0.010071341637786793,0.02232084274291992,0.00046224274387280924,,2,10,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-3461898.6179252677,-5216402.829471325,-3516768.714490206,-3860327.5866226517,-4054593.0804774207,-4021998.1657973737,636045.6913201209,66
16,2.010572576522827,0.015020285816256753,0.04212193489074707,0.00069677948482533,,2,10,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-3374975.0255262824,-5264566.61832587,-3475248.948502098,-3808225.1736480924,-3998135.8922250355,-3984230.3316454752,678334.1748236179,54
17,3.0127020359039305,0.017858794506118533,0.06183733940124512,0.0013091324333518476,,2,10,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-3392763.403806284,-5183951.484563273,-3497412.6934237503,-3798357.3549202816,-3999856.693962319,-3974468.326135181,641945.7683150107,46
18,0.9743007183074951,0.006383174228098644,0.022516345977783202,0.00035768198875369583,,4,2,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-3359170.9116452476,-5359170.393285054,-3580204.8083800166,-3894539.6461697016,-4136044.8728361037,-4065826.1264632246,698884.6514841674,96
19,1.9459298610687257,0.011897535619135957,0.042122602462768555,0.0006977912194805124,,4,2,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-3315185.2721619485,-5338547.092140223,-3561270.921321006,-3874346.503245173,-4107947.791981063,-4039459.5161698824,703252.3009244928,72
20,2.9515592098236083,0.06876104415783169,0.062074899673461914,0.001678243176508423,,4,2,300,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-3346470.4961397974,-5301341.050369462,-3612117.4113826915,-3863545.370343936,-4094026.5187769504,-4043500.169402567,676615.366784194,78
21,0.9763025760650634,0.0069113245751649096,0.022274303436279296,0.0005288467060727313,,4,5,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-3359170.9116452476,-5359170.393285054,-3580204.8083800166,-3894539.6461697016,-4136044.8728361037,-4065826.1264632246,698884.6514841674,96
22,1.9478806972503662,0.01428375687227643,0.041956615447998044,0.0007788550682209355,,4,5,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-3315185.2721619485,-5338547.092140223,-3561270.921321006,-3874346.503245173,-4107947.791981063,-4039459.5161698824,703252.3009244928,72
23,2.9298115730285645,0.02339710874488651,0.06224775314331055,0.00042135709481321725,,4,5,300,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-3346470.4961397974,-5301341.050369462,-3612117.4113826915,-3863545.370343936,-4094026.5187769504,-4043500.169402567,676615.366784194,78
24,0.9426539897918701,0.008344905351554745,0.021464729309082033,0.0005583736979930736,,4,10,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-3446366.86833419,-5363416.395339852,-3544158.548863063,-3913357.435532671,-4126190.828503783,-4078698.0153147117,687847.2957332623,106
25,1.8830902099609375,0.010095432419530334,0.03998584747314453,0.0002859953600995107,,4,10,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-3405051.7660062513,-5341962.444019821,-3537143.7649785616,-3882653.9693456762,-4108893.341398035,-4055141.0571496687,689853.2693817418,86
26,2.8264742374420164,0.015236172902436024,0.05895133018493652,0.0009956481629573408,,4,10,300,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-3421698.8003744814,-5305696.142351439,-3587162.734666718,-3873242.1265072506,-4096355.1517865476,-4056830.9911372876,666170.0034206863,91
27,0.8543243885040284,0.005047498265184392,0.01786952018737793,0.0003175239051647313,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-3297288.035782367,-5272505.200512226,-3536832.348865797,-3690172.6837962097,-4102611.1539409403,-3979881.884579508,697437.6222976808,51
28,1.7026224613189698,0.007890326786351716,0.03274407386779785,0.0002311411550005585,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-3173174.149791303,-5315752.839459556,-3488916.250016038,-3668034.999620227,-4016215.42928819,-3932418.733635063,743462.2632553165,28
29,2.5604873657226563,0.00667987627290556,0.0485349178314209,0.0003643916557876564,10,1,2,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-3207596.188580738,-5268768.107887474,-3514597.9265584326,-3646223.566842726,-3990287.997522181,-3925494.7574783103,717047.8947293606,24
30,0.8260964393615723,0.005058767307218933,0.017351484298706053,0.0003913845176900414,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-3267751.147155564,-5227907.093657639,-3501304.5628996217,-3720824.5647660187,-4091982.8087401795,-3961954.035443804,688738.5041912842,37
31,1.6642218112945557,0.031821659735491684,0.032360172271728514,0.0010659921740112316,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-3204064.0315462835,-5237962.881031061,-3455153.9624294024,-3715830.61571912,-3985095.136784773,-3919621.3255021283,708744.5382767087,16
